start_date,end_year,duration_emergency,location_name,country,post_emergency,persons_per_handpump,persons_per_tap,liters_per_person_per_day,non_chlorinated_0_cfu,chlorinated_safe_water_quality,households_with_toilet,persons_per_toilet,persons_per_shower,persons_per_hygiene_promoter,refugee_pop,liters_per_person_household,potable_water_storage_10l,protected_water_sources,menstrual_hygiene_satisfaction,household_toilet,defecate_in_toilet,access_to_soap,solid_waste_disposal_access
2024-01-01,2024,365,Dagahaley,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,99,98,64,42,83,87,96
2024-01-01,2024,365,Hagadera,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,98,97,72,39,91,75,99
2024-01-01,2024,365,Ifo,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,99,87,63,43,89,69,95
2024-01-01,2024,365,Ifo 2,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,100,100,100,22,49,13,98
2024-12-02,2024,27,Buramino,Ethiopia,Post-emergency,NA,NA,9,NA,100,9,73,NA,NA,49000,NA,NA,NA,NA,NA,NA,NA,NA
2024-09-02,2024,27,Lovua settlement,Angola,Post-emergency,NA,89,23,NA,NA,57,7,20,1043,6262,NA,NA,NA,NA,NA,NA,NA,NA
2024-09-02,2024,27,Arbat,Iraq,Post-emergency,NA,NA,50,100,100,100,5,5,NA,9138,NA,NA,NA,NA,NA,NA,NA,NA
2024-09-02,2024,27,Basirma,Iraq,Post-emergency,NA,19,17,100,100,100,5,5,NA,9294,NA,NA,NA,NA,NA,NA,NA,NA
2024-09-02,2024,27,Kawergosk,Iraq,Post-emergency,NA,6,115,100,100,100,6,5,974,7795,NA,NA,NA,NA,NA,NA,NA,NA
2024-09-02,2024,27,Qushtapa,Iraq,Post-emergency,NA,7,98,100,100,100,6,6,95,8392,NA,NA,NA,NA,NA,NA,NA,NA
2024-09-02,2024,27,Dagahaley,Kenya,Post-emergency,NA,133,20,NA,99,53,9,NA,6206,111725,NA,NA,NA,NA,NA,NA,NA,NA
2024-09-02,2024,27,Hagadera,Kenya,Post-emergency,NA,176,18,NA,100,60,9,NA,4721,146356,NA,NA,NA,NA,NA,NA,NA,NA
2024-09-02,2024,27,Ifo,Kenya,Post-emergency,NA,89,17,NA,97,57,9,NA,5692,102459,NA,NA,NA,NA,NA,NA,NA,NA
2024-09-02,2024,27,Ifo 2,Kenya,Post-emergency,NA,91,26,NA,100,15,18,NA,2455,22099,NA,NA,NA,NA,NA,NA,NA,NA
2024-09-02,2024,27,Dzaleka,Malawi,Post-emergency,741,86,13,NA,NA,75,5,7,1053,55829,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Lovua settlement,Angola,Post-emergency,NA,90,16,NA,NA,61,7,20,1050,6304,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Bambasi,Ethiopia,Post-emergency,NA,142,15,NA,100,41,12,17,1174,21137,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Sherkole,Ethiopia,Post-emergency,7873,169,20,NA,100,33,12,11,1253,16295,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Tsore Camp (Assosa),Ethiopia,Post-emergency,NA,198,15,NA,100,31,14,14,2403,43260,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Arbat,Iraq,Post-emergency,NA,NA,54,100,100,100,5,5,NA,9138,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Basirma,Iraq,Post-emergency,NA,19,17,100,100,100,5,5,NA,9294,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Kawergosk,Iraq,Post-emergency,NA,6,122,100,100,100,6,5,974,7795,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Qushtapa,Iraq,Post-emergency,NA,7,101,100,100,100,6,6,95,8392,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Dagahaley,Kenya,Post-emergency,NA,133,19,NA,99,53,9,NA,6206,111725,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Hagadera,Kenya,Post-emergency,NA,176,16,NA,99,60,9,NA,4721,146356,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Ifo,Kenya,Post-emergency,NA,89,16,NA,99,57,9,NA,5692,102459,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Ifo 2,Kenya,Post-emergency,NA,91,19,NA,100,10,22,NA,2455,22099,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Dzaleka,Malawi,Post-emergency,741,86,13,NA,NA,0,5,7,1045,55425,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Centre humanitaire Agadez,Niger,Emergency,NA,NA,19,NA,NA,0,52,105,NA,2958,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Chadakori,Niger,Post-emergency,NA,212,4,NA,NA,7,25,49,278,4461,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Dandaji Makao,Niger,Post-emergency,NA,302,8,NA,NA,8,19,34,188,3016,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Garin Kaka,Niger,Post-emergency,NA,130,15,NA,NA,17,13,33,113,1816,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Kigeme,Rwanda,Post-emergency,NA,81,17,NA,100,0,34,42,818,14734,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Kiziba,Rwanda,Post-emergency,NA,43,35,NA,100,0,21,60,319,14699,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Mahama,Rwanda,Post-emergency,NA,83,21,100,100,0,19,19,620,63942,NA,NA,NA,NA,NA,NA,NA,NA
